,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index,EngageCount
49024,49024,14115,engage.,picard,83.0,184.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,84,10,"""The Loss""",44356.9,Chip Chalmers,Teleplay: Hilary J. Bader & Alan J. Adler and Vanessa Greene Story: Hilary J. Bader,"December?31,?1990?(1990-12-31)",12.2[5],83,1
49036,49036,14127,engage.,picard,83.0,184.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,84,10,"""The Loss""",44356.9,Chip Chalmers,Teleplay: Hilary J. Bader & Alan J. Adler and Vanessa Greene Story: Hilary J. Bader,"December?31,?1990?(1990-12-31)",12.2[5],83,1
49074,49074,14165,disengage all engines!,picard,83.0,184.txt,"['Disengage', 'engines']","['Disengag', 'engin']","['Disengag', 'engin']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,84,10,"""The Loss""",44356.9,Chip Chalmers,Teleplay: Hilary J. Bader & Alan J. Adler and Vanessa Greene Story: Hilary J. Bader,"December?31,?1990?(1990-12-31)",12.2[5],83,1
49188,49188,34072,frequency scan detectors engaged.,data,83.0,184.txt,"['Frequency', 'scan', 'detectors', 'engaged']","['Frequenc', 'scan', 'detector', 'engag']","['Frequenc', 'scan', 'detector', 'engag']",4.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],10,84,10,"""The Loss""",44356.9,Chip Chalmers,Teleplay: Hilary J. Bader & Alan J. Adler and Vanessa Greene Story: Hilary J. Bader,"December?31,?1990?(1990-12-31)",12.2[5],83,1
49621,49621,90129,"engines disengaged, sir.",geordi,83.0,184.txt,"['Engines', 'disengaged', 'sir']","['Engin', 'disengag', 'sir']","['Engin', 'disengag', 'sir']",3.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",10,84,10,"""The Loss""",44356.9,Chip Chalmers,Teleplay: Hilary J. Bader & Alan J. Adler and Vanessa Greene Story: Hilary J. Bader,"December?31,?1990?(1990-12-31)",12.2[5],83,1
49766,49766,14280,engage ,picard,84.0,185.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",11,85,11,"""Data's Day""",44390.1,Robert Wiemer,Teleplay: Harold Apter and Ronald D. Moore Story: Harold Apter,"January?7,?1991?(1991-01-07)",11.7[5],84,1
49777,49777,14291,engage ,picard,84.0,185.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",11,85,11,"""Data's Day""",44390.1,Robert Wiemer,Teleplay: Harold Apter and Ronald D. Moore Story: Harold Apter,"January?7,?1991?(1991-01-07)",11.7[5],84,1
51633,51633,15091,engage.,picard,87.0,188.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",14,88,14,"""Clues""",44502.7,Les Landau,Teleplay: Bruce D. Arthurs and Joe Menosky Story: Bruce D. Arthurs,"February?11,?1991?(1991-02-11)",12.3[5],87,1
51744,51744,34648,engage emergency plan zed zed alpha.,data,87.0,188.txt,"['Engage', 'Emergency', 'Plan', 'Zed', 'Zed', 'Alpha']","['Engag', 'Emerg', 'Plan', 'Zed', 'Zed', 'Alpha']","['Engag', 'Emerg', 'Plan', 'Zed', 'Zed', 'Alpha']",6.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],14,88,14,"""Clues""",44502.7,Les Landau,Teleplay: Bruce D. Arthurs and Joe Menosky Story: Bruce D. Arthurs,"February?11,?1991?(1991-02-11)",12.3[5],87,1
52395,52395,15293,engage ,picard,89.0,190.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",16,90,16,"""Galaxy's Child""",44614.6,Winrich Kolbe,Teleplay: Maurice Hurley Story: Thomas Kartozian,"March?11,?1991?(1991-03-11)",11.7[5],89,1
52487,52487,34742,"the entity has disengaged, sir.",enterprise bridge (optical) data,89.0,190.txt,"['The', 'entity', 'disengaged', 'sir']","['The', 'entiti', 'disengag', 'sir']","['The', 'entiti', 'disengag', 'sir']",4.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],16,90,16,"""Galaxy's Child""",44614.6,Winrich Kolbe,Teleplay: Maurice Hurley Story: Thomas Kartozian,"March?11,?1991?(1991-03-11)",11.7[5],89,1
52977,52977,15343,she is trying to engage his mind telepathically.,picard,90.0,191.txt,"['She', 'trying', 'engage', 'mind', 'telepathically']","['She', 'tri', 'engag', 'mind', 'telepath']","['She', 'tri', 'engag', 'mind', 'telepath']",5.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",17,91,17,"""Night Terrors""",44631.2,Les Landau,Teleplay: Pamela Douglas and Jeri Taylor Story: Shari Goodhartz,"March?18,?1991?(1991-03-18)",11.2[5],90,1
53009,53009,15375,"ensign lin, put us into position to engage the tractor beam.",picard,90.0,191.txt,"['Ensign', 'Lin', 'put', 'us', 'position', 'engage', 'tractor', 'beam']","['Ensign', 'Lin', 'put', 'us', 'posit', 'engag', 'tractor', 'beam']","['Ensign', 'Lin', 'put', 'u', 'posit', 'engag', 'tractor', 'beam']",8.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",17,91,17,"""Night Terrors""",44631.2,Les Landau,Teleplay: Pamela Douglas and Jeri Taylor Story: Shari Goodhartz,"March?18,?1991?(1991-03-18)",11.2[5],90,1
53012,53012,15378,engage.,picard,90.0,191.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",17,91,17,"""Night Terrors""",44631.2,Les Landau,Teleplay: Pamela Douglas and Jeri Taylor Story: Shari Goodhartz,"March?18,?1991?(1991-03-18)",11.2[5],90,1
53622,53622,15494,reengage...,picard,91.0,192.txt,['Reengage'],['Reengag'],['Reengag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",18,92,18,"""Identity Crisis""",44664.5,Winrich Kolbe,Teleplay: Brannon Braga Story: Timothy DeHaas,"March?25,?1991?(1991-03-25)",10.9[5],91,1
54206,54206,15551,ensign anaya attempts in vain to manually engage the helm...,star trek: act three continued: picard,92.0,193.txt,"['Ensign', 'Anaya', 'attempts', 'vain', 'manually', 'engage', 'helm']","['Ensign', 'Anaya', 'attempt', 'vain', 'manual', 'engag', 'helm']","['Ensign', 'Anaya', 'attempt', 'vain', 'manual', 'engag', 'helm']",7.0,-0.4215,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",19,93,19,"""The Nth Degree""",44704.2,Robert Legato,Joe Menosky,"April?1,?1991?(1991-04-01)",11.0[5],92,1
55084,55084,15792,they engage again.,picard,93.0,194.txt,"['They', 'engage']","['They', 'engag']","['They', 'engag']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",20,94,20,"""Qpid""",44741.9,Cliff Bole,Teleplay: Ira Steven Behr Story: Randee Russell and Ira Steven Behr,"April?22,?1991?(1991-04-22)",10.8[5],93,1
56079,56079,16088,(trying to disengage) and as it will be something of an official greeting...,picard,95.0,196.txt,"['trying', 'disengage', 'And', 'something', 'official', 'greeting']","['tri', 'disengag', 'And', 'someth', 'offici', 'greet']","['tri', 'disengag', 'And', 'someth', 'offici', 'greet']",6.0,0.3182,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",22,96,22,"""Half a Life""",44805.3,Les Landau,Teleplay: Peter Allan Fields Story: Ted Roberts and Peter Allan Fields,"May?6,?1991?(1991-05-06)",Unknown[5],95,1
56519,56519,91150,"they've disengaged the linkup, sir...",geordi,95.0,196.txt,"['Theyve', 'disengaged', 'linkup', 'sir']","['Theyv', 'disengag', 'linkup', 'sir']","['Theyv', 'disengag', 'linkup', 'sir']",4.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",22,96,22,"""Half a Life""",44805.3,Les Landau,Teleplay: Peter Allan Fields Story: Ted Roberts and Peter Allan Fields,"May?6,?1991?(1991-05-06)",Unknown[5],95,1
56556,56556,16186,engage tractor beam.,picard,96.0,197.txt,"['Engage', 'tractor', 'beam']","['Engag', 'tractor', 'beam']","['Engag', 'tractor', 'beam']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",23,97,23,"""The Host""",44821.3,Marvin V. Rush,Michel Horvat,"May?13,?1991?(1991-05-13)",11.3[5],96,1
57458,57458,53646,both were engaged near the ikalian asteroid belt...,worf,97.0,198.txt,"['Both', 'engaged', 'near', 'Ikalian', 'asteroid', 'belt']","['Both', 'engag', 'near', 'Ikalian', 'asteroid', 'belt']","['Both', 'engag', 'near', 'Ikalian', 'asteroid', 'belt']",6.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],24,98,24,"""The Mind's Eye""",44885.5,David Livingston,Teleplay: Ren? Echevarria Story: Ken Schafer and Ren? Echevarria,"May?27,?1991?(1991-05-27)",10.1[5],97,1
57799,57799,16388,engage...,picard,98.0,199.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,99,25,"""In Theory""",44932.3,Patrick Stewart,Joe Menosky and Ronald D. Moore,"June?3,?1991?(1991-06-03)",9.8[5],98,1
57858,57858,16447,engage ,picard,98.0,199.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,99,25,"""In Theory""",44932.3,Patrick Stewart,Joe Menosky and Ronald D. Moore,"June?3,?1991?(1991-06-03)",9.8[5],98,1
58527,58527,16635,engage.,picard,99.0,200.txt,['engage'],['engag'],['engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",26,100,26,"""Redemption I""",44995.3,Cliff Bole,Ronald D. Moore,"June?17,?1991?(1991-06-17)",10.9[5],99,1
58691,58691,53837,override engaged!,worf,99.0,200.txt,"['Override', 'engaged']","['Overrid', 'engag']","['Overrid', 'engag']",2.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],26,100,26,"""Redemption I""",44995.3,Cliff Bole,Ronald D. Moore,"June?17,?1991?(1991-06-17)",10.9[5],99,1
58961,58961,105805,(to worf) engage emergency override!,gowron,99.0,200.txt,"['Worf', 'Engage', 'emergency', 'override']","['Worf', 'Engag', 'emerg', 'overrid']","['Worf', 'Engag', 'emerg', 'overrid']",4.0,0.0,['gowron'],gowron,Robert O'Reilly,"['TNG', 'DS9']",gowron,Klingon Empire,Klingon High Council,['Chancellor'],Klingon,['gowron'],26,100,26,"""Redemption I""",44995.3,Cliff Bole,Ronald D. Moore,"June?17,?1991?(1991-06-17)",10.9[5],99,1
59036,59036,16687,there have been three major engagements in the last two weeks...,picard,100.0,201.txt,"['There', 'three', 'major', 'engagements', 'last', 'two', 'weeks']","['There', 'three', 'major', 'engag', 'last', 'two', 'week']","['There', 'three', 'major', 'engag', 'last', 'two', 'week']",7.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,101,1,"""Redemption II""",45021.3,David Carson,Ronald D. Moore,"September?23,?1991?(1991-09-23)",N/A[6],100,1
59074,59074,16725,engage ,picard ext.,100.0,201.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,101,1,"""Redemption II""",45021.3,David Carson,Ronald D. Moore,"September?23,?1991?(1991-09-23)",N/A[6],100,1
59233,59233,35446,(to conn officer) lay in the course and engage at warp nine point three.,data,100.0,201.txt,"['Conn', 'Officer', 'Lay', 'course', 'engage', 'warp', 'nine', 'point', 'three']","['Conn', 'Offic', 'Lay', 'cours', 'engag', 'warp', 'nine', 'point', 'three']","['Conn', 'Offic', 'Lay', 'cours', 'engag', 'warp', 'nine', 'point', 'three']",9.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],1,101,1,"""Redemption II""",45021.3,David Carson,Ronald D. Moore,"September?23,?1991?(1991-09-23)",N/A[6],100,1
60290,60290,17114,understand you've been discussing alternative adversarial engagement strategies with mot.,picard,102.0,203.txt,"['understand', 'youve', 'discussing', 'alternative', 'adversarial', 'engagement', 'strategies', 'Mot']","['understand', 'youv', 'discuss', 'altern', 'adversari', 'engag', 'strategi', 'Mot']","['understand', 'youv', 'discus', 'altern', 'adversari', 'engag', 'strategi', 'Mot']",8.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,103,3,"""Ensign Ro""",45076.3,Les Landau,Teleplay: Michael Piller Story: Rick Berman & Michael Piller,"October?7,?1991?(1991-10-07)",11.6[6],102,1
60477,60477,17301,engage ,picard ext.,102.0,203.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,103,3,"""Ensign Ro""",45076.3,Les Landau,Teleplay: Michael Piller Story: Rick Berman & Michael Piller,"October?7,?1991?(1991-10-07)",11.6[6],102,1
63545,63545,69575,engage ,riker,106.0,207.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",7,107,7,"""Unification I""",45233.1,Les Landau,Teleplay: Jeri Taylor Story: Rick Berman and Michael Piller,"November?4,?1991?(1991-11-04)",15.4[6],106,1
63883,63883,18134,"(prepare to engage the cloaking device.) ""unification"" pt.",picard,107.0,208.txt,"['Prepare', 'engage', 'cloaking', 'device', 'Unification', 'Pt']","['Prepar', 'engag', 'cloak', 'devic', 'Unif', 'Pt']","['Prepar', 'engag', 'cloak', 'devic', 'Unif', 'Pt']",6.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",8,108,8,"""Unification II""",45245.8,Cliff Bole,Teleplay: Michael Piller Story: Rick Berman and Michael Piller,"November?11,?1991?(1991-11-11)",15.4[6],107,1
64867,64867,18442,"(to felton) engage, ensign ",picard ext.,109.0,210.txt,"['Felton', 'Engage', 'Ensign']","['Felton', 'Engag', 'Ensign']","['Felton', 'Engag', 'Ensign']",3.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,110,10,"""New Ground""",45376.3,Robert Scheerer,Teleplay: Grant Rosenberg Story: Sara Charno and Stuart Charno,"January?6,?1992?(1992-01-06)",11.9[6],109,1
64896,64896,18471,(to felton) engage.,picard,109.0,210.txt,"['Felton', 'Engage']","['Felton', 'Engag']","['Felton', 'Engag']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",10,110,10,"""New Ground""",45376.3,Robert Scheerer,Teleplay: Grant Rosenberg Story: Sara Charno and Stuart Charno,"January?6,?1992?(1992-01-06)",11.9[6],109,1
65379,65379,91725,"this is going to be like being there to watch chuck yeager break the sound barrier, or zephram cochrane engage the first warp drive!",geordi,109.0,210.txt,"['This', 'going', 'like', 'watch', 'Chuck', 'Yeager', 'break', 'sound', 'barrier', 'Zephram', 'Cochrane', 'engage', 'first', 'warp', 'drive']","['Thi', 'go', 'like', 'watch', 'Chuck', 'Yeager', 'break', 'sound', 'barrier', 'Zephram', 'Cochran', 'engag', 'first', 'warp', 'drive']","['Thi', 'go', 'like', 'watch', 'Chuck', 'Yeager', 'break', 'sound', 'barrier', 'Zephram', 'Cochran', 'engag', 'first', 'warp', 'drive']",15.0,0.25,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",10,110,10,"""New Ground""",45376.3,Robert Scheerer,Teleplay: Grant Rosenberg Story: Sara Charno and Stuart Charno,"January?6,?1992?(1992-01-06)",11.9[6],109,1
65549,65549,36131,(off colors) core transfer is engaged.,data,110.0,211.txt,"['colors', 'Core', 'transfer', 'engaged']","['color', 'Core', 'transfer', 'engag']","['color', 'Core', 'transfer', 'engag']",4.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],11,111,11,"""Hero Worship""",45397.3,Patrick Stewart,Teleplay: Joe Menosky Story: Hilary J. Bader,"January?27,?1992?(1992-01-27)",12.7[6],110,1
65869,65869,69870,engage forward shields thirtyfive percent.,riker,110.0,211.txt,"['Engage', 'forward', 'shields', 'thirtyfive', 'percent']","['Engag', 'forward', 'shield', 'thirtyf', 'percent']","['Engag', 'forward', 'shield', 'thirtyf', 'percent']",5.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",11,111,11,"""Hero Worship""",45397.3,Patrick Stewart,Teleplay: Joe Menosky Story: Hilary J. Bader,"January?27,?1992?(1992-01-27)",12.7[6],110,1
66761,66761,45753,"hannah doesn't want to disengage the argument but finally leads troi out, getting the last word...",troi,112.0,213.txt,"['Hannah', 'doesnt', 'want', 'disengage', 'argument', 'finally', 'leads', 'Troi', 'getting', 'last', 'word']","['Hannah', 'doesnt', 'want', 'disengag', 'argument', 'final', 'lead', 'Troi', 'get', 'last', 'word']","['Hannah', 'doesnt', 'want', 'disengag', 'argument', 'final', 'lead', 'Troi', 'get', 'last', 'word']",11.0,0.2235,['troi'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",13,113,13,"""The Masterpiece Society""",45470.1,Winrich Kolbe,Teleplay: Adam Belanoff and Michael Piller Story: James Kahn and Adam Belanoff,"February?10,?1992?(1992-02-10)",12.0[6],112,1
66807,66807,69989,engage evacuation procedures for those decks.,riker,112.0,213.txt,"['Engage', 'evacuation', 'procedures', 'decks']","['Engag', 'evacu', 'procedur', 'deck']","['Engag', 'evacu', 'procedur', 'deck']",4.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",13,113,13,"""The Masterpiece Society""",45470.1,Winrich Kolbe,Teleplay: Adam Belanoff and Michael Piller Story: James Kahn and Adam Belanoff,"February?10,?1992?(1992-02-10)",12.0[6],112,1
66907,66907,92003,engage tractor beam.,geordi,112.0,213.txt,"['Engage', 'tractor', 'beam']","['Engag', 'tractor', 'beam']","['Engag', 'tractor', 'beam']",3.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",13,113,13,"""The Masterpiece Society""",45470.1,Winrich Kolbe,Teleplay: Adam Belanoff and Michael Piller Story: James Kahn and Adam Belanoff,"February?10,?1992?(1992-02-10)",12.0[6],112,1
67299,67299,54643,perhaps we were engaged in battle.,worf,113.0,214.txt,"['Perhaps', 'engaged', 'battle']","['Perhap', 'engag', 'battl']","['Perhap', 'engag', 'battl']",3.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],14,114,14,"""Conundrum""",45494.2,Les Landau,Teleplay: Barry Schkolnick Story: Paul Schiffer,"February?17,?1992?(1992-02-17)",12.2[6],113,1
69139,69139,106432,life support disengaged.,ogawa,115.0,216.txt,"['Life', 'support', 'disengaged']","['Life', 'support', 'disengag']","['Life', 'support', 'disengag']",3.0,0.4019,['ogawa'],alyssa ogawa,Patti Yasutake,"['TNG', 'GEN,FCT']",alyssa ogawa,Nurse,USS Enterprise-E,"['Lieutenant, JG']",Human,"['alyssa', 'ogawa']",16,116,16,"""Ethics""",45587.3,Chip Chalmers,Teleplay: Ronald D. Moore Story: Sara Charno & Stuart Charno,"March?2,?1992?(1992-03-02)",12.6[6],115,1
69208,69208,19268,(beat) engage.,picard,116.0,217.txt,"['beat', 'Engage']","['beat', 'Engag']","['beat', 'Engag']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",17,117,17,"""The Outcast""",45614.6,Robert Scheerer,Jeri Taylor,"March?16,?1992?(1992-03-16)",12.3[6],116,1
69977,69977,36582,"one hundred twentyfive discussions about ship operations, two hundred fiftyseven conversations of a personal nature, five couples engaged in romantic encounters...",data,117.0,218.txt,"['One', 'hundred', 'twentyfive', 'discussions', 'ship', 'operations', 'two', 'hundred', 'fiftyseven', 'conversations', 'personal', 'nature', 'five', 'couples', 'engaged', 'romantic', 'encounters']","['One', 'hundr', 'twentyf', 'discuss', 'ship', 'oper', 'two', 'hundr', 'fiftyseven', 'convers', 'person', 'natur', 'five', 'coupl', 'engag', 'romant', 'encount']","['One', 'hundr', 'twentyf', 'discus', 'ship', 'oper', 'two', 'hundr', 'fiftyseven', 'convers', 'person', 'natur', 'five', 'coupl', 'engag', 'romant', 'encount']",17.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],18,118,18,"""Cause and Effect""",45652.1,Jonathan Frakes,Brannon Braga,"March?23,?1992?(1992-03-23)",13.0[6],117,1
72226,72226,46464,"it's a normal, healthy activity for children to engage in imaginary play.",troi,121.0,222.txt,"['Its', 'normal', 'healthy', 'activity', 'children', 'engage', 'imaginary', 'play']","['It', 'normal', 'healthi', 'activ', 'children', 'engag', 'imaginari', 'play']","['It', 'normal', 'healthi', 'activ', 'child', 'engag', 'imaginari', 'play']",8.0,0.34,['troi'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",22,122,22,"""Imaginary Friend""",45852.1,Gabrielle Beaumont,Teleplay: Edithe Swensen and Brannon Braga Story: Jean Louise Matthias & Ronald Wilkerson and Richard Fliegel,"May?4,?1992?(1992-05-04)",12.1[6],121,1
